atlas1_region,atlas2_region,n_voxels_overlap,fractional_region_overlap,atlas1_name,atlas2_name
122,14,2592,0.935064935,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
123,14,2683,0.95616536,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
124,14,2257,0.98558952,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
125,6,2892,0.910866142,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
126,6,4174,0.963082603,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
127,5,3626,0.956728232,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
128,5,4037,0.987766088,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
129,6,3578,0.905593521,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
130,6,3019,0.950267548,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
131,3,3562,0.923755187,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
132,3,3526,0.935526665,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
133,5,2919,0.899815043,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
134,5,3583,0.969951272,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
135,5,8093,0.969453761,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
136,5,9002,0.94578693,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
137,12,6304,0.95154717,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
138,12,7442,0.961498708,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
139,6,7869,0.965166196,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
140,6,8098,0.958003076,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
141,17,8464,0.976915974,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
142,13,9105,0.972860348,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
143,16,12096,0.976744186,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
144,16,10488,0.9817467,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
145,7,8290,0.978979688,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
146,7,9631,0.965223492,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
147,11,3794,0.937716263,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
148,11,3541,0.947805139,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
149,7,4330,0.955217295,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
150,6,4944,0.939745296,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
151,11,6576,0.925415142,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
152,2,8038,0.934433853,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
153,16,6060,0.967896502,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
154,16,6873,0.925282714,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
155,4,6918,0.940201142,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
156,4,6924,0.942553771,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
157,4,4778,0.955408918,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
158,4,4735,0.964751426,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
159,6,5816,0.971600401,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
160,3,5661,0.959979651,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
161,3,4803,0.901633189,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
162,3,3717,0.907027818,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
163,4,2538,0.957374576,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
164,4,2103,0.966008268,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
165,8,1259,0.680908599,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
166,8,1127,0.659064327,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
167,8,1956,0.946298984,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
168,8,1813,0.986398259,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
169,7,2032,0.941612604,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
170,7,2071,0.912736888,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
171,4,2126,0.919152616,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
172,4,2015,0.950023574,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
173,7,2718,0.931140802,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
174,7,2268,0.946577629,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
175,16,3446,0.939989089,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
176,16,3248,0.949707602,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
177,8,1372,0.915276851,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
178,16,2145,0.885631709,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
179,16,3699,0.965040438,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
180,8,2684,0.882024318,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
181,15,2341,0.825458392,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
182,15,2093,0.791005291,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
183,7,2661,0.938293371,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
184,7,1949,0.918473139,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
185,7,4548,0.967453733,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
186,7,4061,0.931635696,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
187,16,4664,0.954954955,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
188,16,3122,0.930274136,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
189,1,3471,0.882083863,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
190,1,4414,0.913304366,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
191,2,5918,0.928605053,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
192,2,6069,0.894209518,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
193,1,4569,0.925835866,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
194,2,4355,0.892966988,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
195,2,5772,0.949967084,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
196,2,6597,0.945264365,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
197,2,7090,0.917324363,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
198,2,7491,0.947029077,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
199,1,6040,0.931380108,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
200,1,6319,0.931319086,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
201,1,5699,0.940429043,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
202,1,5991,0.925679852,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
203,1,7678,0.958312531,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
204,1,7514,0.938428875,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
205,1,7164,0.874084919,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
206,1,6415,0.867478026,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
207,2,4707,0.968717843,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
208,2,4952,0.950297448,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
209,5,4673,0.976593521,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
210,5,5990,0.977959184,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
211,9,174,0.143564356,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
212,9,168,0.101879927,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
213,9,9,0.013615734,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
214,9,41,0.040275049,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
215,15,433,0.092422625,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
216,15,424,0.108885465,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
217,15,487,0.104484016,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
218,15,385,0.0775428,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
219,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
220,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
221,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
222,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
223,10,47,0.018000766,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
224,10,136,0.041666667,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
225,7,1,0.000372717,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
226,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
227,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
228,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
229,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
230,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
231,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
232,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
233,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
234,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
235,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
236,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
237,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
238,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
239,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
240,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
241,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
242,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
243,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
244,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
245,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
246,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask